list of nuclides available on jendl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
H001,H002,He003,He004,Li006,Li007,Be009,B010,B011,C000,N014,N015,O016,F019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na023,Mg024,Mg025,Mg026,Al027,Si028,Si029,Si030,P031,S033,S034,S036,Cl035,Cl037,Ar040,K039,K040,K041,Ca040,Ca042,Ca043,Ca044,Ca046,Ca048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sc045,Ti046,Ti047,Ti048,Ti049,Ti050,V050,V051,Cr050,Cr052,Cr053,Cr054,Mn055,Fe054,Fe056,Fe057,Fe058,Fe059,Ni060,Ni061,Ni062,Ni064,Cu063,Cu065,Zn064,Zn065,Zn066,Zn067,Zn068,Zn070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ga069,Ga071,Ge070,Ge072,Ge073,Ge074,Ge076,As075,Se074,Se076,Se077,Se078,Se079,Se080,Se082,Br079,Br081,Kr080,Kr082,Kr083,Kr084,Kr085,Kr086,Rb085,Rb086,Rb087,Sr084,Sr086,Sr087,Sr088,Sr089,Sr090,Y089,Y090,Y091,Zr090,Zr091,Zr092,Zr093,Zr094,Zr095,Zr096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nb093,Nb094,Nb095,Mo092,Mo094,Mo095,Mo096,Mo097,Mo098,Mo099,Mo100,Tc099,Ru096,Ru098,Ru099,Ru100,Ru101,Ru102,Ru103,Ru104,Ru105,Ru106,Rh103,Rh105,Pd102,Pd104,Pd105,Pd106,Pd107,Pd108,Pd110,Ag107,Ag109,Ag110m,Ag111,Cd106,Cd108,Cd110,Cd111,Cd112,Cd113,Cd114,Cd116,In113,In115,Sn112,Sn114,Sn115,Sn116,Sn117,Sn118,Sn119,Sn120,Sn122,Sn123,Sn124,Sn126,0,0,0,0,0,0
Sb121,Sb123,Sb124,Sb125,Sb126,Te120,Te122,Te123,Te124,Te125,Te126,Te127m,Te128,Te129m,Te130,Te132,I127,I129,I130,I131,I135,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe133,Xe134,Xe135,Xe136,Cs133,Cs134,Cs135,Cs136,Cs137,Ba130,Ba132,Ba134,Ba135,Ba136,Ba137,Ba138,Ba140,La138,La139,La140,Ce140,Ce141,Ce142,Ce143,Ce144,Pr141,Pr143,Nd142,Nd143,Nd144,Nd145,Nd146,Nd147,Nd148,Nd150
Pm147,Pm148,Pm148m,Pm149,Pm151,Sm144,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm153,Sm154,Eu151,Eu152,Eu153,Eu154,Eu155,Eu156,Eu157,Gd152,Gd153,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,Tb159,Tb160,Dy154,Dy156,Dy158,Dy159,Dy160,Dy161,Dy162,Dy163,Dy164,Er162,Er164,Er167,Er168,Er170,Tm169,Yb168,Yb170,Yb171,Yb172,Yb173,Yb174,Yb176,0,0,0,0,0,0,0,0,0,0
Hf174,Hf176,Hf177,Hf178,Hf179,Hf180,Hf181,Hf182,Ta181,W180,W182,W183,W184,W186,Os184,Os186,Os187,Os188,Os189,Os190,Os192,Au197,Hg196,Hg198,Hg199,Hg200,Hg201,Hg202,Hg204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pb204,Pb206,Pb207,Pb208,Bi209,Ra223,Ra224,Ra225,Ra226,Ac225,Ac226,Ac227,Th227,Th228,Th229,Th230,Th231,Th232,Th233,Th234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pa229,Pa230,Pa231,Pa232,Pa233,U230,U231,U232,U233,U234,U235,U236,U237,U238,Np234,Np235,Np236,Np237,Np238,Np239,Pu236,Pu237,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Pu246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
