A,Z,symbol,ABUNDANCE,t1/2 (s),mode,avg gamma intensity,thermal n cross section,res integral,N
1,1,H,99.9885,0,0,0,0.332,0.149,0
1,2,H,0.0115,0,0,0,0.52,0.23,0
1,3,H,0,388789632,B-,0,0,0,0
2,3,He,0.000134,0,0,0,0,0,0
2,4,He,99.999866,0,0,0,0,0,0
3,6,Li,7.59,0,0,0,0.039,0.017,0
3,7,Li,92.41,0,0,0,0.045,0.02,0
3,8,Li,0,0.84,A,0,0,0,0
4,9,Be,100,0,0,0,0.008,0.004,0
4,10,Be,0,4.69E+13,B-,0,0,0,0
5,10,B,19.9,0,0,0,0.3,0.1,0
5,11,B,80.1,0,0,0,0.005,0.002,0
5,12,B,0,2.02E-02,B-,0,0,0,0
6,12,C,98.93,0,0,0,0.0035,0.0016,0
6,13,C,1.07,0,0,0,0.0014,0.0016,0
6,14,C,0,1.80E+11,B-,0,0,0,0
7,14,N,99.636,0,0,0,0.08,0.036,0
7,15,N,0.364,0,0,0,0.00002,0.00011,0
7,16,N,0,7.13,B-,0,0,0,0
8,16,O,99.757,0,0,0,0.00019,0.0004,0
8,17,O,0.038,0,0,0,0.00054,0.00039,0
8,18,O,0.205,0,0,0,0.00016,0.00081,0
8,19,O,0,26.9,B-,0,0,0,0
9,19,F,100,0,0,0,0.0095,0.021,0
9,20,F,0,11.1,B-,0,0,0,0
10,20,Ne,90.48,0,0,0,0.04,0.02,0
10,21,Ne,0.27,0,0,0,0.7,0.3,0
10,22,Ne,9.25,0,0,0,0.05,0.02,0
10,23,Ne,0,37.1,B-,0,0,0,0
11,23,Na,100,0,0,0,0.53,0.32,0
11,23,Na,0,53892,B-,0,0,0,0
12,24,Mg,78.99,0,0,0,0.053,0.032,0
12,25,Mg,10,0,0,0,0.2,0.1,0
12,26,Mg,11.01,0,0,0,0.039,0.025,0
12,27,Mg,0,567,B-,0,0,0,0
13,27,Al,100,0,0,0,0.23,0.17,0
13,28,Al,0,135,B-,0,0,0,0
14,28,Si,92.223,0,0,0,0.169,0.08,0
14,29,Si,4.685,0,0,0,0.12,0.08,0
14,30,Si,3.092,0,0,0,0.107,0.7,0
14,31,Si,0,9432,B-,0,0,0,0
15,32,P,100,0,0,0,0.17,0.08,0
15,32,P,0,1233792,B-,0,0,0,0
16,32,Si,94.99,0,0,0,0.53,0.26,0
16,33,Si,0.75,0,0,0,0.45,0.23,0
16,34,Si,4.25,0,0,0,0.25,0.13,0
16,35,Si,0,7534080,B-,0,0,0,0
16,36,Si,0.01,0,0,0,0.24,0.17,0
16,37,Si,0,303,B-,0,0,0,0
17,35,Cl,75.76,0,0,0,43.6,15,0
17,36,Cl,0,9.50E+12,B-,0,0,0,0
17,37,Cl,24.24,0,0,0,0.43,0.32,0
17,38,Cl,0,2232,B-,0,0,0,0
18,36,Ar,0.3365,0,0,0,5.2,0,0
18,37,Ar,0,3024000,E,0,0,0,0
18,38,Ar,0.0632,0,0,0,0.8,0,0
18,39,Ar,0,8488994400,B-,0,0,0,0
18,40,Ar,99.6003,0,0,0,0.65,0.41,0
18,41,Ar,0,6588,B-,0,0,0,0
19,39,K,93.2581,0,0,0,2.1,1,0
19,40,K,0.0117,0,0,0,30,13,0
19,41,K,6.7302,0,0,0,1.46,1.4,0
19,42,K,0,44496,B-,0,0,0,0
20,40,Ca,96.941,0,0,0,0.41,0.22,0
20,41,Ca,0,3.25E+12,E,0,0,0,0
20,42,Ca,0.647,0,0,0,0.7,0.4,0
20,43,Ca,0.135,0,0,0,6,4,0
20,44,Ca,2.086,0,0,0,0.84,0.59,0
20,45,Ca,0,14057280,B-,0,0,0,0
20,46,Ca,0.004,0,0,0,0.7,0.9,0
20,47,Ca,0,391910.4,B-,0,0,0,0
20,48,Ca,0.187,0,0,0,0.98,0.5,0
20,49,Ca,0,523.2,B-,0,0,0,0
21,45,Sc,100,0,0,0,27,12,0
21,46,Sc,0,7239456,B-,0,0,0,0
21,47,Sc,0,289353.6,B-,0,0,0,0
21,48,Sc,0,157320,B-,0,0,0,0
21,49,Sc,0,3438,B-,0,0,0,0
22,46,Ti,8.25,0,0,0,0.6,0.4,0
22,47,Ti,7.44,0,0,0,1.7,1.6,0
22,48,Ti,73.72,0,0,0,7.9,3.6,0
22,49,Ti,5.41,0,0,0,1.9,1.2,0
22,50,Ti,5.18,0,0,0,0.177,0.11,0
22,51,Ti,0,345.6,B-,0,0,0,0
23,51,V,100,0,0,0,21,60,0
23,52,V,0,224.58,B-,0,0,0,0
24,50,Cr,4.345,0,0,0,15.5,8,0
24,51,Cr,0,2393452.8,E,0,0,0,0
24,52,Cr,83.789,0,0,0,0.8,0.5,0
24,53,Cr,9.501,0,0,0,18,9,0
24,54,Cr,2.365,0,0,0,0.36,0.2,0
24,55,Cr,0,209.82,B-,0,0,0,0
25,54,Mn,0,26974080,E,0,0,0,0
25,55,Mn,100,0,0,0,13.3,14,0
25,56,Mn,0,9284.04,B-,0,0,0,0
26,54,Fe,5.845,0,0,0,2.3,1.4,0
26,55,Fe,0,86594054.4,E,0,0,0,0
26,56,Fe,91.754,0,0,0,2.6,1.4,0
26,57,Fe,2.119,0,0,0,2.5,1.6,0
26,58,Fe,0.282,0,0,0,1.3,1.2,0
26,59,Fe,0,3844368,B-,0,0,0,0
27,59,Co,100,0,0,0,37,74,0
27,60,Co,0,166344192,B-,0,0,0,0
